ruta,palabra,hablante,sexo,pais,origen,revisar
data\raw\Base_datos_palabras\piedra\piedra_johntyner_h_eeuu.mp3,piedra,johntyner,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_jspatt_h_eeuu.mp3,piedra,jspatt,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_ksmccain21_m_eeuu.mp3,piedra,ksmccain21,mujer,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_matthewludlum_h_eeuu.mp3,piedra,matthewludlum,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_mlsantos_h_eeuu.mp3,piedra,mlsantos,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_momislo_h_esp.mp3,piedra,momislo,hombre,esp,España,
data\raw\Base_datos_palabras\piedra\piedra_msalas_h_eeuu.mp3,piedra,msalas,hombre,eeuu,No nativo,origen_dudoso
data\raw\Base_datos_palabras\piedra\piedra_pablo2012_h_arg.mp3,piedra,pablo2012,hombre,arg,Latam,
data\raw\Base_datos_palabras\piedra\piedra_tenpao_h_esp.mp3,piedra,tenpao,hombre,esp,España,
data\raw\Base_datos_palabras\plancha\plancha_beitter_m_esp.mp3,plancha,beitter,mujer,esp,España,
data\raw\Base_datos_palabras\plancha\plancha_camilorosa_h_chile.mp3,plancha,camilorosa,hombre,chile,Latam,
data\raw\Base_datos_palabras\plancha\plancha_yelkoastur_h_esp.mp3,plancha,yelkoastur,hombre,esp,España,
data\raw\Base_datos_palabras\rojo\rojo_alter_ven_h.mp3,rojo,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\rojo\rojo_aqucorrea_h_arg.mp3,rojo,aqucorrea,hombre,arg,Latam,
data\raw\Base_datos_palabras\rojo\rojo_brujacarter_m_esp.mp3,rojo,brujacarter,mujer,esp,España,
data\raw\Base_datos_palabras\rojo\rojo_danibusuu_h_esp.mp3,rojo,danibusuu,hombre,esp,España,
data\raw\Base_datos_palabras\rojo\rojo_estexu_h_esp.mp3,rojo,estexu,hombre,esp,España,
data\raw\Base_datos_palabras\rojo\rojo_justnahuel_h_arg.mp3,rojo,justnahuel,hombre,arg,Latam,
data\raw\Base_datos_palabras\rojo\rojo_magdaibeth_m_col.mp3,rojo,magdaibeth,mujer,col,Latam,
data\raw\Base_datos_palabras\silla\silla_donquijote_h_mex.mp3,silla,donquijote,hombre,mex,Latam,
data\raw\Base_datos_palabras\silla\silla_justmelody_m_arg.mp3,silla,justmelody,mujer,arg,Latam,
data\raw\Base_datos_palabras\silla\silla_justnahuel_h_arg.mp3,silla,justnahuel,hombre,arg,Latam,
data\raw\Base_datos_palabras\silla\silla_mariad_m_esp.mp3,silla,mariad,mujer,esp,España,
data\raw\Base_datos_palabras\silla\silla_nymes_h_esp.mp3,silla,nymes,hombre,esp,España,
data\raw\Base_datos_palabras\silla\silla_roonblis_m_mex.mp3,silla,roonblis,mujer,mex,Latam,
data\raw\Base_datos_palabras\silla\silla_seilaregia_h_mex.mp3,silla,seilaregia,hombre,mex,Latam,
data\raw\Base_datos_palabras\silla\silla_trajano_h_esp.mp3,silla,trajano,hombre,esp,España,
data\raw\Base_datos_palabras\silla\silla_victornalab_h_ven.mp3,silla,victornalab,hombre,ven,Latam,
data\raw\Base_datos_palabras\silla\silla_xristian_h_col.mp3,silla,xristian,hombre,col,Latam,
data\raw\Base_datos_palabras\silla\silla_yelkoastur_h_esp.mp3,silla,yelkoastur,hombre,esp,España,
data\raw\Base_datos_palabras\tambor\tambor_dafanafel_m_col.mp3,tambor,dafanafel,mujer,col,Latam,
data\raw\Base_datos_palabras\tambor\tambor_diegolacra_h_esp.mp3,tambor,diegolacra,hombre,esp,España,
data\raw\Base_datos_palabras\tambor\tambor_fjglez_h_esp.mp3,tambor,fjglez,hombre,esp,España,
data\raw\Base_datos_palabras\tambor\tambor_joseig_h_esp.mp3,tambor,joseig,hombre,esp,España,
data\raw\Base_datos_palabras\tambor\tambor_sentinel2009_h_peru.mp3,tambor,sentinel2009,hombre,peru,Latam,
data\raw\Base_datos_palabras\taza\taza_Eeemmmlll_m_arg.mp3,taza,eeemmmlll,mujer,arg,Latam,
data\raw\Base_datos_palabras\taza\taza_adroguense_h_arg.mp3,taza,adroguense,hombre,arg,Latam,
data\raw\Base_datos_palabras\taza\taza_alter_h_ven.mp3,taza,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\taza\taza_amazulro_h_col.mp3,taza,amazulro,hombre,col,Latam,
data\raw\Base_datos_palabras\taza\taza_churru_h_esp.mp3,taza,churru,hombre,esp,España,
data\raw\Base_datos_palabras\taza\taza_distridexter_h_arg.mp3,taza,distridexter,hombre,arg,Latam,
data\raw\Base_datos_palabras\taza\taza_rorradealarido_m_mex.mp3,taza,rorradealarido,mujer,mex,Latam,
data\raw\Base_datos_palabras\taza\taza_symphon_h_mex.mp3,taza,symphon,hombre,mex,Latam,
data\raw\Base_datos_palabras\tres\tres_alexanderarg_h_arg.mp3,tres,alexanderarg,hombre,arg,Latam,
data\raw\Base_datos_palabras\tres\tres_alter_h_ven.mp3,tres,alter,hombre,ven,Latam,
data\raw\Base_datos_palabras\tres\tres_cc4miloo_h_col.mp3,tres,cc4miloo,hombre,col,Latam,
data\raw\Base_datos_palabras\tres\tres_fjglez_h_esp.mp3,tres,fjglez,hombre,esp,España,
data\raw\Base_datos_palabras\tres\tres_gmaranca_h_arg.mp3,tres,gmaranca,hombre,arg,Latam,
data\raw\Base_datos_palabras\tres\tres_guijaran2_h_esp.mp3,tres,guijaran2,hombre,esp,España,
data\raw\Base_datos_palabras\tres\tres_ignasibcn_h_esp.mp3,tres,ignasibcn,hombre,esp,España,
data\raw\Base_datos_palabras\tres\tres_joseeduardo1775_h_chile.mp3,tres,joseeduardo1775,hombre,chile,Latam,
data\raw\Base_datos_palabras\tres\tres_linlinao_h_chile.mp3,tres,linlinao,hombre,chile,Latam,
data\raw\Base_datos_palabras\tres\tres_locutoraargentina_h_arg.mp3,tres,locutoraargentina,hombre,arg,Latam,
data\raw\Base_datos_palabras\tres\tres_orphneus_h_arg.mp3,tres,orphneus,hombre,arg,Latam,
data\raw\Base_datos_palabras\tres\tres_steve04_h_col.mp3,tres,steve04,hombre,col,Latam,
data\raw\Base_datos_palabras\tres\tres_volk_h_arg.mp3,tres,volk,hombre,arg,Latam,
data\raw\Base_datos_palabras\tres\tres_yelkoastur_h_esp.mp3,tres,yelkoastur,hombre,esp,España,
